年度,項目,管制編號,事業名稱,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,七大製造業
112,309,H45A1887,永豐餘消費品實業股份有限公司楊梅廠,"27,064.80","18,918.62","45,983.42",桃園市,其他紙製品製造業,造紙業
112,366,H4700645,正隆股份有限公司大園廠,"216,329.49","127,433.08","343,762.57",桃園市,紙漿、紙及紙板製造業,造紙業
112,372,H5302063,日皓造紙工業股份有限公司觀音廠,"21,702.22","20,393.58","42,095.80",桃園市,紙漿、紙及紙板製造業,造紙業
112,373,H5300425,錦美紙業股份有限公司觀音廠,"22,675.42","11,080.62","33,756.03",桃園市,紙漿、紙及紙板製造業,造紙業
112,461,H5307960,台灣電力股份有限公司大潭發電廠,"11,606,905.65","2,202.89","11,609,108.54",桃園市,電力供應業,電力業
112,469,H4604568,長生電力股份有限公司,"1,887,559.66","1,912.77","1,889,472.43",桃園市,電力供應業,電力業
112,471,H4810851,華亞汽電股份有限公司華亞汽電廠,"1,748,171.28","17,376.15","1,765,547.43",桃園市,電力供應業,電力業
112,473,H4810799,國光電力股份有限公司,"1,063,651.60","1,582.78","1,065,234.37",桃園市,電力供應業,電力業
112,476,H4702336,大園汽電共生股份有限公司,"564,803.62","1,825.82","566,629.45",桃園市,電力供應業,電力業
112,480,H53A2562,華亞汽電股份有限公司觀音公用廠,"76,281.87","2,578.68","78,860.56",桃園市,電力供應業,電力業
112,96,H4889454,台灣美光晶圓科技股份有限公司一廠,"61,468.98","472,421.78","533,890.77",桃園市,半導體製造業,電子業
112,100,H4888582,台灣美光晶圓科技股份有限公司二廠,"42,310.60","405,055.99","447,366.60",桃園市,半導體製造業,電子業
112,116,H46B0495,世界先進積體電路股份有限公司晶圓三廠,"58,293.42","200,679.68","258,973.10",桃園市,半導體製造業,電子業
112,121,H50A6430,台灣積體電路製造股份有限公司先進封測三廠,"12,629.99","204,049.66","216,679.65",桃園市,半導體製造業,電子業
112,158,H43A0700,日月光半導體製造股份有限公司中壢分公司封測五廠,308.5874,"65,962.46","66,271.05",桃園市,半導體製造業,電子業
112,159,H4886999,穩懋半導體股份有限公司華亞二廠,"19,855.76","46,265.80","66,121.57",桃園市,半導體製造業,電子業
112,161,H43C1277,日月光半導體製造股份有限公司中壢分公司封測七廠,232.186,"63,242.45","63,474.63",桃園市,半導體製造業,電子業
112,164,H43C1811,日月光半導體製造股份有限公司中壢分公司封測八廠,206.067,"57,644.58","57,850.65",桃園市,半導體製造業,電子業
112,167,H48B0554,穩懋半導體股份有限公司龜山廠,"6,756.03","44,037.53","50,793.56",桃園市,半導體製造業,電子業
112,180,H5001589,艾克爾國際科技股份有限公司龍潭廠,"9,097.30","34,570.19","43,667.49",桃園市,半導體製造業,電子業
112,181,H50A1985,合晶科技股份有限公司龍潭廠,"1,792.07","41,027.10","42,819.17",桃園市,半導體製造業,電子業
112,188,H43B3840,日月光半導體製造股份有限公司中壢分公司封測六廠,348.8764,"36,936.14","37,285.02",桃園市,半導體製造業,電子業
112,201,H4806348,穩懋半導體股份有限公司華亞廠,"9,649.10","18,304.43","27,953.53",桃園市,半導體製造業,電子業
112,226,H4601398,南亞塑膠工業股份有限公司錦興廠,"743,622.39","20,388.23","764,010.62",桃園市,光電材料及元件製造業,電子業
112,232,H5008211,友達光電股份有限公司龍科廠,"7,562.68","232,631.42","240,194.10",桃園市,光電材料及元件製造業,電子業
112,233,H4888493,友達光電股份有限公司桃園分公司華亞廠,"7,307.54","230,683.71","237,991.24",桃園市,光電材料及元件製造業,電子業
112,236,H49A2429,凌巨科技股份有限公司八德廠,"141,543.88","83,378.99","224,922.87",桃園市,光電材料及元件製造業,電子業
112,237,H5002362,友達光電股份有限公司桃園分公司,"8,159.33","172,134.14","180,293.47",桃園市,光電材料及元件製造業,電子業
112,255,H4605074,南亞電路板股份有限公司錦興廠,"1,611.51","378,822.84","380,434.35",桃園市,印刷電路板製造業,電子業
112,257,H5205514,景碩科技股份有限公司清華一廠,"4,661.41","85,725.40","90,386.81",桃園市,印刷電路板製造業,電子業
112,258,H4304929,金像電子股份有限公司中壢廠,"17,955.67","65,303.53","83,259.20",桃園市,印刷電路板製造業,電子業
112,259,H45C0110,欣興電子股份有限公司楊梅廠,"3,569.36","68,945.80","72,515.16",桃園市,印刷電路板製造業,電子業
112,260,H4887978,欣興電子股份有限公司精密載板事業部三廠,"2,060.31","66,629.23","68,689.55",桃園市,印刷電路板製造業,電子業
112,261,H48A7682,欣興電子股份有限公司精密載板事業部二廠,"2,369.30","63,072.77","65,442.08",桃園市,印刷電路板製造業,電子業
112,264,H4601272,華通電腦股份有限公司三廠,660.208,"57,888.50","58,548.71",桃園市,印刷電路板製造業,電子業
112,265,H5301217,先豐通訊股份有限公司觀音廠,"15,562.46","42,267.04","57,829.49",桃園市,印刷電路板製造業,電子業
112,266,H4806222,欣興電子股份有限公司山鶯一廠,"1,796.15","44,549.55","46,345.70",桃園市,印刷電路板製造業,電子業
112,269,H4703600,華通電腦股份有限公司大園廠,326.8428,"43,280.33","43,607.17",桃園市,印刷電路板製造業,電子業
112,270,H4601129,華通電腦股份有限公司一廠,"1,901.92","41,405.16","43,307.08",桃園市,印刷電路板製造業,電子業
112,272,H4889310,欣興電子股份有限公司精密載板事業部一廠,"3,385.53","36,333.52","39,719.04",桃園市,印刷電路板製造業,電子業
112,273,H46B0524,敬鵬工業股份有限公司第二之二廠,"1,972.42","32,238.84","34,211.26",桃園市,印刷電路板製造業,電子業
112,274,H48B6522,欣興電子股份有限公司山鶯二廠,784.7265,"31,618.96","32,403.69",桃園市,印刷電路板製造業,電子業
112,275,H46A1149,欣興電子股份有限公司蘆竹二廠,914.3212,"30,521.30","31,435.62",桃園市,印刷電路板製造業,電子業
112,280,H47A8358,欣興電子股份有限公司大園廠,"1,022.17","28,129.88","29,152.05",桃園市,印刷電路板製造業,電子業
112,281,H45C2819,景碩科技股份有限公司幼獅廠,"1,252.86","26,031.82","27,284.68",桃園市,印刷電路板製造業,電子業
112,314,H43C0794,精材科技股份有限公司中壢三廠,839.3463,"64,587.34","65,426.69",桃園市,其他電子零組件製造業,電子業
112,318,H43A2855,精材科技股份有限公司中壢二廠,"21,904.13","13,892.03","35,796.17",桃園市,其他電子零組件製造業,電子業
112,319,H5204133,景碩科技股份有限公司,563.187,"33,766.09","34,329.27",桃園市,其他電子零組件製造業,電子業
112,414,H4809607,中環股份有限公司林口三廠,24.2649,"54,670.16","54,694.42",桃園市,資料儲存媒體製造業,電子業
